"sub" "mem" "beta_a" "Tp" "Ta" "mup" "mua" "sp" "sa" "ll"
"mem" "aleg" 0.731018407721386 4.40302623980417 2.26813734906243 2.16771745421545 4.88102312914846 4.7634240314872 0.812539321466273 0.845606008827309 -519.874354650692
"mem1" "alis" 0.706535839248392 6.0135882174822 3.45844479274625 1.25109662879552 6.44590108700005 2.41066956768013 1.55789616385964 0.598372162734846 -761.485127207501
"mem2" "elis" 0.701613312396505 3.40626954229513 3.05353215339424 1.42314401217355 6.60365674202493 3.09661837049088 1.28849548345189 0.745495480865806 -785.647357271273
"mem3" "jarw" 0.851004427052647 7.19063723668048 3.03465614354706 2.08265544838959 5.76764623431249 3.04255653142179 1.21460551411898 1.0468303133244 -747.167019745177
"mem4" "julm" 0.796637285383474 7.03017394082616 2.61952473687549 2.71192739545877 4.97640044333795 5.21114613302396 0.841188480375351 0.992710308869087 -409.36148252951
"mem5" "katm" 0.541418317755364 7.85267044689177 1.30436700189023 1.87556485300089 3.14188111846914 4.3226479077961 0.465011599443006 1.07130743969882 -730.175114961647
"mem6" "lens" 0.220179271658108 5.78759850655279 2.30777018121111 2.16773655609349 5.88186322844403 5.38244017071219 0.867119784273524 0.947152110582934 -595.659710371031
"mem7" "marb" 0.779694430891807 4.42209433563047 2.83292955542157 2.01346973224751 5.5823239674303 3.80430375620699 1.17881129753381 0.968352991930166 -748.038052948601
"mem8" "nadf" 0.772060694188641 7.41495338466193 2.95707462928926 1.14570892739561 6.56996534828048 2.41158848353056 1.25945222658474 0.622194668901182 -838.569146677199
"mem9" "olir" 0.807828983264873 7.3451287613512 2.0684628167616 2.17781528529595 5.09260016368955 5.16483737136774 0.684615351887497 0.785358202789621 -405.387256684731
"mem10" "ricg" 0.565318009892304 1.48326241054549 2.10099521253161 3.01870743366952 4.78409035946471 6.06762334696527 0.908823542404376 1.22821036056832 -620.881516330148
"mem11" "thep" 0.895467833289555 6.78638046800532 2.84783860332854 1.97029539619472 5.25109808068726 3.00996845500318 1.06205780814102 0.819520111010684 -607.988765494602
