"sub" "Absent_1:1" "Absent_1:3" "Absent_3:1" "Present_1:1" "Present_1:3" "Present_3:1"
"aleg" 0.005 0.00666666666666667 0.04 0.025 0.08 0.00666666666666667
"alis" 0.025 0.0166666666666667 0.03 0.025 0.04 0.0266666666666667
"elis" 0.035 0.0166666666666667 0.03 0.015 0.05 0.01
"jarw" 0 0 0 0.01 0 0.00666666666666667
"julm" 0.005 0 0 0.01 0.03 0.00666666666666667
"katm" 0.01 0.00333333333333333 0.01 0.005 0.01 0.02
"lens" 0.01 0 0.01 0.035 0.05 0.0233333333333333
"marb" 0.01 0.00333333333333333 0.02 0.025 0.04 0.0133333333333333
"nadf" 0.015 0.00333333333333333 0.05 0.025 0.04 0.01
"olir" 0 0.00666666666666667 0.03 0.015 0.01 0.0166666666666667
"ricg" 0 0.0133333333333333 0.05 0.035 0.09 0.04
"thep" 0 0 0 0 0.01 0.00333333333333333
