"sub" "mem" "beta_a" "Tp" "Ta" "mup" "mua" "sp" "sa" "ll"
"1" "adrl" 0.889917376554627 6.08055980564232 2.51770583926556 2.73898282811087 4.73351619991572 4.93675637221802 0.9770548417523 1.2251827968848 -660.350471578571
"2" "aleg" 0.760373828016513 4.43107428531901 2.32433095491758 2.25322568786321 4.79507980346262 4.92003849164206 0.907814609305421 1.00171275537645 -631.791098118288
"3" "anas" 0.680594239437313 2.58294926710385 2.15673981694153 2.22780218371415 4.46527542054185 4.79427647845768 0.736993192920318 1.09919151719485 -638.909256220869
"4" "elis" 0.777745748170843 2.6289129488578 2.68737209843304 2.11208820573172 5.31067896711922 4.54711296428636 1.15957606586854 1.01716352939784 -755.881939392666
"5" "fran" 0.644304318570611 4.34176792462723 2.57350375680037 2.34900020296408 4.670015503683 4.3091385676526 1.02539959408468 1.00826327294926 -636.024153574531
"6" "jons" 0.605575026224396 4.7434138182234 2.4637870269092 2.22859769684776 5.38127049532882 4.86670439579218 1.02535080163727 0.882377920396646 -594.149802792626
"7" "julk" 0.690071993104611 2.90225129840028 2.53891901550274 2.08832255056449 4.67846739702073 3.98788798951335 0.876873123194776 0.828112159219211 -517.811621720641
"8" "julm" 0.530954945291887 1.85058315690117 3.15209358779703 2.11206358176241 5.63283343791734 3.78827008595522 1.2474905482216 0.77645810370446 -541.851544281428
"9" "lens" 0.628965847625545 6.39687592960749 1.81346150009538 2.08788263213676 4.45160780443313 5.16794934610064 0.638519219711419 0.721693505168276 -422.414166430918
"10" "marm" 0.744383111427706 3.91967506187018 2.72893044172832 2.08008919864309 5.23222676701303 4.20330272101884 0.895857831411102 0.715907562422276 -423.696695384136
"11" "olir" 0.784281220710899 6.22370880859745 2.42353318304973 1.375565049552 5.76405316031464 3.26898738456074 0.759542821948855 0.513292037626627 -440.437630200082
"12" "ricg" 0.46381191411681 1.00876946879604 2.56771764332772 2.47787973856434 5.2126219939776 4.85569735659125 1.06441316081659 1.08686459062215 -650.334040567217
